,name,id,price,sex,points,elo,elo1,race1,place
19,Richard JOUVE,3190345,5136,m,36.5286535561682,1768.28935063829,1768.28935063829,36.5286535561682,1
34,Haavard Solaas TAUGBOEL,3421754,3497,m,26.4944486517478,1712.68600244007,1712.68600244007,26.4944486517478,2
27,Federico PELLEGRINO,3290326,7023,m,25.2109737843253,1704.6603806245,1704.6603806245,25.2109737843253,3
18,Lucas CHANAVAT,3190323,4149,m,23.7559116965959,1695.24295770112,1695.24295770112,23.7559116965959,4
41,Alexander BOLSHUNOV,3482277,18092,m,21.083117904252,1676.9454469913,1676.9454469913,21.083117904252,5
40,Gleb RETIVYKH,3481163,3484,m,20.7866751737504,1674.82750340766,1674.82750340766,20.7866751737504,6
42,Alexander TERENTEV,3482806,4006,m,19.8603064219063,1668.08331782235,1668.08331782235,19.8603064219063,7
35,Even NORTHUG,3422477,779,m,19.3446924183379,1664.2430596234,1664.2430596234,19.3446924183379,8
8,Michal NOVAK,3150570,3472,m,15.9000083435162,1636.75637898364,1636.75637898364,15.9000083435162,9
51,Roman SCHAAD,3510451,390,m,14.7129667300412,1626.41654559694,1626.41654559694,14.7129667300412,10
52,Valerio GROND,3510656,503,m,11.7029253070619,1597.57865612798,1597.57865612798,11.7029253070619,11
48,Marcus GRATE,3501340,1152,m,10.7650417890706,1587.64441829182,1587.64441829182,10.7650417890706,12
33,Sindre Bjoernestad SKAR,3421164,1689,m,10.416840280121,1583.81715738307,1583.81715738307,10.416840280121,13
32,Finn Haagen KROGH,3420961,620,m,10.1361090431233,1580.67218657464,1580.67218657464,10.1361090431233,14
45,Johan HAEGGSTROEM,3501010,1208,m,9.62310081925501,1574.77969758562,1574.77969758562,9.62310081925501,15
50,Jovian HEDIGER,3510377,806,m,9.34297310463024,1571.47795473652,1571.47795473652,9.34297310463024,16
17,Renaud JAY,3190282,512,m,8.76455277777108,1564.45681108282,1564.45681108282,8.76455277777108,17
55,Ben OGDEN,3530902,401,m,8.36924939230506,1559.48822681558,1559.48822681558,8.36924939230506,18
38,Maciej STAREGA,3430103,232,m,7.53572466648037,1548.50280333906,1548.50280333906,7.53572466648037,19
26,James CLUGNET,3220033,473,m,7.24569833895193,1544.50085775883,1544.50085775883,7.24569833895193,20
12,Lauri VUORINEN,3180865,1171,m,7.04572194432022,1541.68212992791,1541.68212992791,7.04572194432022,21
36,Thomas Helland LARSEN,3423291,797,m,6.59956454595493,1535.20580269884,1535.20580269884,6.59956454595493,22
11,Ondrej CERNY,3150664,212,m,5.23471610418467,1513.48206362296,1513.48206362296,5.23471610418467,23
13,Juuso HAARALA,3180990,214,m,4.75863483407145,1505.06579760245,1505.06579760245,4.75863483407145,24
9,Tomas KALIVODA,3150635,222,m,4.49401554707054,1500.15567221809,1500.15567221809,4.49401554707054,25
7,Ludek SELLER,3150549,229,m,4.41111874524237,1498.58000801359,1498.58000801359,4.41111874524237,26
49,Gustaf BERGLUND,3501587,223,m,4.09938871987341,1492.4812471521,1492.4812471521,4.09938871987341,27
10,Jan PECHOUSEK,3150637,213,m,3.94632055042182,1489.37888298343,1489.37888298343,3.94632055042182,28
56,James Clinton SCHOONMAKER,3530910,1572,m,3.35496944929436,1476.62123567829,1476.62123567829,3.35496944929436,29
16,Niilo MOILANEN,3181408,244,m,3.3397720514508,1476.27528595547,1476.27528595547,3.3397720514508,30
14,Verneri SUHONEN,3181098,252,m,3.17875807976796,1472.54729305896,1472.54729305896,3.17875807976796,31
28,Francesco DE FABIANI,3290379,2286,m,3.0181713818921,1468.70831763359,1468.70831763359,3.0181713818921,32
25,Andrew YOUNG,3220016,1947,m,2.9137493325615,1466.1422424576,1466.1422424576,2.9137493325615,33
54,Kevin BOLGER,3530713,718,m,2.1284891003053,1444.66857261185,1444.66857261185,2.1284891003053,34
60,Aliaksandr VORANAU,3660055,231,m,1.70947468138934,1431.08206676473,1431.08206676473,1.70947468138934,35
29,Michael HELLWEGER,3290533,216,m,1.53060639477262,1424.63688715885,1424.63688715885,1.53060639477262,36
53,Logan HANNEMAN,3530583,314,m,1.2446905779431,1413.26020193595,1413.26020193595,1.2446905779431,37
44,Karl-Johan WESTBERG,3500991,211,m,1.13121079751228,1408.28596093358,1408.28596093358,1.13121079751228,38
37,Haakon SKAANES,3423627,223,m,1.08682974199375,1406.25482122234,1406.25482122234,1.08682974199375,39
20,Arnaud CHAUTEMPS,3190429,229,m,0.889982202595533,1396.54984961296,1396.54984961296,0.889982202595533,40
58,Miha SIMENC,3560101,483,m,0.835032352072133,1393.60157837264,1393.60157837264,0.835032352072133,41
6,Graham RITCHIE,3100412,227,m,0.75777189376067,1389.24095257397,1389.24095257397,0.75777189376067,42
43,Denis FILIMONOV,3483152,229,m,0.60860428603374,1379.94960631366,1379.94960631366,0.60860428603374,43
46,Olof JONSSON,3501252,224,m,0.579072928750407,1377.94366664415,1377.94366664415,0.579072928750407,44
47,Oskar SVENSSON,3501255,3459,m,0.562493643814403,1376.78904280904,1376.78904280904,0.562493643814403,45
57,Luke JAGER,3530911,214,m,0.454336769282233,1368.66957566774,1368.66957566774,0.454336769282233,46
31,Martin HIMMA,3390240,232,m,0.163730117833114,1337.56985934737,1337.56985934737,0.163730117833114,47
23,Anian SOSSAU,3200880,224,m,0.03857183957476,1309.41786616596,1309.41786616596,0.03857183957476,48
39,Kamil BURY,3430233,231,m,0.020441394768108,1301.06476420762,1301.06476420762,0.020441394768108,49
5,Russell KENNEDY,3100268,214,m,0.00618335714100788,1289.76701908624,1289.76701908624,0.00618335714100788,50
22,Max OLEX,3200435,226,m,0.0000988827029862185,1273.78484062768,1273.78484062768,0.0000988827029862185,51
36,Maja DAHLQVIST,3505800,10639,f,46.6871931383506,1718.863288242,1718.863288242,46.6871931383506,1
48,Anamarija LAMPIC,3565062,6894,f,42.7050901109917,1704.27685174828,1704.27685174828,42.7050901109917,2
43,Jessie DIGGINS,3535410,11933,f,25.7207653811726,1629.83293341477,1629.83293341477,25.7207653811726,3
37,Jonna SUNDLING,3505809,3317,f,23.7580538563444,1619.38471998522,1619.38471998522,23.7580538563444,4
20,Greta LAURENT,3295193,738,f,19.0928915544636,1592.13854377203,1592.13854377203,19.0928915544636,5
47,Eva UREVC,3565055,1302,f,17.462396634992,1581.62763060476,1581.62763060476,17.462396634992,6
40,Laurien VAN DER GRAAFF,3515087,1424,f,15.2616145295534,1566.40525609068,1566.40525609068,15.2616145295534,7
31,Natalia NEPRYAEVA,3486010,8151,f,14.0964763299959,1557.77826226086,1557.77826226086,14.0964763299959,8
27,Mathilde MYHRVOLD,3426496,546,f,13.6085333539499,1554.03140843201,1554.03140843201,13.6085333539499,9
4,Katerina JANATOVA,3155324,633,f,9.60072578076264,1519.43405898585,1519.43405898585,9.60072578076264,10
7,Jasmi JOENSUU,3185551,1247,f,6.59039577584,1486.77770533625,1486.77770533625,6.59039577584,11
13,Victoria CARL,3205403,2654,f,5.99222805826478,1479.21026212327,1479.21026212327,5.99222805826478,12
25,Ane Appelkvist STENSETH,3426112,1055,f,5.668529061664,1474.91445984663,1474.91445984663,5.668529061664,13
32,Hristina MATSOKINA,3486563,498,f,3.36122321052795,1438.51008609073,1438.51008609073,3.36122321052795,14
19,Elisa BROCARD,3295000,227,f,3.29588664723174,1437.27444334182,1437.27444334182,3.29588664723174,15
45,Hailey SWIRBUL,3535602,1503,f,2.61346524686718,1423.32705649172,1423.32705649172,2.61346524686718,16
44,Julia KERN,3535562,1113,f,2.54454066011477,1421.79541061269,1421.79541061269,2.54454066011477,17
39,Moa LUNDGREN,3506079,1157,f,2.48615638574504,1420.477343164,1420.477343164,2.48615638574504,18
16,Coletta RYDZEK,3205570,215,f,2.02988333648036,1409.43020937907,1409.43020937907,2.02988333648036,19
24,Magni SMEDAAS,3426110,229,f,1.5433694067953,1395.75190937837,1395.75190937837,1.5433694067953,20
26,Julie MYHRE,3426163,231,f,1.17738592218452,1383.5285236347,1383.5285236347,1.17738592218452,21
28,Kristine Stavaas SKISTAD,3426626,814,f,1.05654816084158,1378.96907686093,1378.96907686093,1.05654816084158,22
3,Petra HYNCICOVA,3155270,221,f,0.93872875377896,1374.19395265645,1374.19395265645,0.93872875377896,23
15,Sofie KREHL,3205434,490,f,0.900567708160396,1372.5665092672,1372.5665092672,0.900567708160396,24
10,Lena QUINTIN,3195263,227,f,0.642538093412062,1360.21166413955,1360.21166413955,0.642538093412062,25
0,Lisa UNTERWEGER,3055108,231,f,0.564487779870019,1355.86478104063,1355.86478104063,0.564487779870019,26
12,Anne WINKLER,3205350,217,f,0.545883564239015,1354.7732497386,1354.7732497386,0.545883564239015,27
41,Alina MEIER,3515252,227,f,0.441652262899712,1348.17509872928,1348.17509872928,0.441652262899712,28
11,Laura GIMMLER,3205305,808,f,0.411433548437768,1346.08033072714,1346.08033072714,0.411433548437768,29
14,Nadine HERRMANN,3205424,224,f,0.2496500483854,1332.76719669049,1332.76719669049,0.2496500483854,30
17,Alexandra DANNER,3205655,217,f,0.197895017892458,1327.36195605496,1327.36195605496,0.197895017892458,31
18,Jessica LOESCHKE,3205689,215,f,0.188616985054305,1326.30122084293,1326.30122084293,0.188616985054305,32
35,Maria NORDSTROEM,3505591,230,f,0.0955347862153837,1313.12451556578,1313.12451556578,0.0955347862153837,33
5,Zuzana HOLIKOVA,3155357,213,f,0.0590927288072897,1305.6176651825,1305.6176651825,0.0590927288072897,34
46,Hannah HALVORSEN,3535606,211,f,0.044248127868032,1301.6969415622,1301.6969415622,0.044248127868032,35
8,Anni ALAKOSKI,3185610,214,f,0.0425587457612327,1301.20050561677,1301.20050561677,0.0425587457612327,36
29,Monika SKINDER,3435201,231,f,0.0406264842112096,1300.61717808405,1300.61717808405,0.0406264842112096,37
49,Anja MANDELJC,3565090,213,f,0.0386434854300042,1300,1300,0.0386434854300042,38
9,Jasmin KAHARA,3185828,229,f,0.0386434854300042,1300,1300,0.0386434854300042,39
22,Mariel Merlii PULLES,3395115,224,f,0.0287367615381178,1296.57064771435,1296.57064771435,0.0287367615381178,40
50,Anastasia KIRILLOVA,3665115,228,f,0.0113448170460007,1287.94429628445,1287.94429628445,0.0113448170460007,41
23,Anna SVENDSEN,3425381,481,f,0.00132600008910867,1276.38967066413,1276.38967066413,0.00132600008910867,42